idrfid, date, intime, outtime
2323, 2023-03-19, 13:59:54, 14:59:54
3214, 2023-03-19, 16:26:38, 17:26:38
2004, 2023-03-19, 17:23:52, 18:23:52
1234, 2023-03-19, 13:33:20, 14:33:20
2222, 2023-03-19, 17:19:51, 18:19:51
1093, 2023-03-19, 13:11:48, 14:11:48
1111, 2023-03-19, 17:38:17, 18:38:17
3333, 2023-03-19, 15:16:29, 16:16:29
2323, 2023-03-19, 13:02:33, 14:02:33
1112, 2023-03-19, 17:17:55, 18:17:55
1234, 2023-03-19, 16:44:16, 17:44:16
3214, 2023-03-19, 16:02:33, 17:02:33
2222, 2023-03-19, 13:45:26, 14:45:26
1234, 2023-03-19, 14:51:14, 15:51:14
3333, 2023-03-19, 13:11:45, 14:11:45
2222, 2023-03-19, 16:48:49, 17:48:49
1892, 2023-03-19, 13:57:38, 14:57:38
2004, 2023-03-19, 17:50:55, 18:50:55
1892, 2023-03-19, 14:15:47, 15:15:47
3214, 2023-03-19, 16:52:11, 17:52:11
